343,581,1,354
366,478,0,243
365,585,0,353
373,615,0,340
394,489,1,19
400,517,0,226
399,556,1,314
432,627,0,40
457,543,0,45
499,647,0,300
512,490,0,96
535,647,0,98
580,653,0,276
604,595,0,349
623,521,0,88
630,626,0,214
662,664,0,12
657,642,1,279
659,552,1,286
658,523,1,352
684,506,1,66
718,542,0,297
750,500,0,278
772,573,0,298
788,639,0,353
793,478,1,90
807,506,0,41
816,554,1,306
846,510,1,359
845,571,1,46
851,619,0,51
898,564,0,306
945,489,0,346
943,567,0,264
950,513,1,347
974,553,1,90
995,561,0,56
995,634,0,265
1027,618,1,275
1054,663,1,326
1065,504,0,24
1104,571,1,65
1122,594,0,236
1142,653,0,192
1165,487,0,3
1164,513,1,57
1215,535,0,4
1223,631,0,5
1259,476,0,348
1298,515,0,2
1298,481,0,173
1407,551,0,1
1444,664,0,3
1484,612,0,18
1494,644,1,41
1516,484,0,28
1545,646,1,45
1573,599,1,290
1581,559,0,5
1621,510,0,9
1626,630,1,31
1658,581,0,7
1651,646,1,89
1668,635,0,31
1708,490,0,262
1731,630,1,57
1742,653,0,192
1757,619,1,286
1805,620,0,267
1856,636,0,355
1868,569,0,86
1886,547,0,171
1930,546,0,356
1962,666,0,348
2073,619,0,9
101,1439,0,346
106,1389,0,295
147,1321,0,252
177,1343,0,355
190,1434,0,242
212,1310,0,293
228,1358,0,347
241,1418,0,251
283,1415,0,249
282,1462,1,316
297,1476,0,223
313,1446,1,349
339,1357,0,347
341,1490,0,25
347,1441,0,329
391,1404,1,312
390,1436,1,298
392,1344,1,45
433,1474,0,264
442,1376,1,318
443,1315,1,282
458,1417,0,322
470,1334,0,29
469,1451,1,10
469,1392,1,15
504,1491,0,201
522,1330,1,298
572,1393,0,329
617,1380,0,317
623,1455,1,287
631,1423,0,180
655,1486,0,98
660,1439,0,180
684,1375,0,34
681,1309,0,266
716,1402,0,26
722,1454,0,131
747,1319,0,36
758,1378,1,329
785,1414,0,323
783,1454,1,282
798,1330,0,220
804,1487,0,209
817,1367,0,25
834,1394,1,343
862,1377,1,297
876,1300,0,43
878,1461,0,357
880,1409,0,304
935,1356,0,357
934,1480,0,245
976,1487,0,253
1011,1347,0,255
1029,1421,0,60
1044,1450,0,237
1056,1344,0,236
1077,1489,0,305
1084,1420,0,324
1096,1396,1,52
1106,1476,0,137
1130,1391,0,54
1144,1436,0,218
